Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
2,1,2,1,12,0.6667,0,0,1,1.63,0,0,0,0,0,0,0,1,0,0,2.273,65,65,6.89E-12,6.875,1.455,1.612,0.999,1.774,0.1135,0.875,0.3419,0,0,0,0,0,0,0
4,3,2,1,20,0,0.1429,0.1429,1,1.979,0,0,0,0,0,0,0,1,0,0,5.712,65,65,1.35E-11,12,1.167,1.743,1.713,2.299,0,4.821,1.557,0.07143,0,0,0,0,0,0
8,4,2,2,22,0,0.6222,0.6222,1.443,1.839,0.08229,0.01574,0,0.02256,0.1297,0.1286,0.2175,0.4037,0.01543,0,0.1889,65,65,1.27E-11,11.06,5.152,0.3109,0.2401,0.04809,0.2173,1.313,0.3337,0,0,0,0,0,0,0
9,6,4,2,22,0,0.5333,0.5333,1.921,2.09,0,0.181,0.0664,0.1424,0.2428,0.1642,0.06802,0.1352,0.03951,0.1869,0.1263,65,65,1.27E-11,11.06,5.604,0.4506,0.2401,0.04809,0.2173,1.313,0.3528,0,0,0,0,0,0,0
13,7,2,1,34,0,0,0,2.615,3.125,0,0.1882,0.04761,0.2827,0.09899,0.1882,0.04538,0.1488,0.4821,0.1632,0.9676,65,65,1.27E-11,11.01,2.09,0.526,1.211,1.113,0.06154,1.383,1.093,0.1739,0,0,0,0,0,0
10,7,7,1,22,0,0,0,1.312,1.312,0,0,0,0,0,0.9273,0.07269,0,0,0,0.2344,65,65,1.27E-11,11.06,5.694,2.502,0.2298,1.96E-16,0.2173,0.2173,0.2173,0,0,0,0,0,29,0.4603
21,8,4,1,43,0.05263,0,0.01053,1.941,2.117,0,0.06463,0.05243,0.02507,0.3001,0.3854,0,0.1504,0.07969,0,0.2067,65,65,1.73E-11,22.14,8.672,0.2592,0.2298,2.23E-16,0.2173,1.752,0.2325,0,0,0,0,0,14,0.07292
2,1,2,1,12,0.5714,0,0,1,1.861,0,0,0,0,0,0,0,1,0,0,6.071,65,65,1.46E-11,13.71,0.8755,2.025,1.581,2.235,0.1135,2.629,0.8692,0,0,0,0,0,31,2.583
13,9,5,0,24,0,0.1684,0.4211,1,1,0,0,0,0,0,0,0,0,0,0,0.1169,65,65,1.27E-11,11.07,8.673,0.318,0.1144,1.40E-16,0.1077,0.1077,0.1077,0,0,0,0,0,42,0.4375
11,6,5,2,29,0,0.1915,0.3617,1,1,0,0,0,0,0,0,0,0,0,0,0.2785,65,65,1.27E-11,11.06,4.339,0.1531,0.2298,1.96E-16,0,0.2173,0.172,0.2083,0,0,0,0,13,0.2708
16,8,5,2,32,0,0.3729,0.7627,1.578,1.785,0,0.2321,0.02901,0.2389,0.09385,0.1451,0.02901,0.1741,0.173,0.1038,0.1586,65,65,1.27E-11,11.07,7.589,1.031,0.1848,0.1405,0.1077,0.3058,0.1879,0,0,0,0,0,32,1.429
24,10,2,1,48,0.02128,0.02128,0.06383,2.137,2.473,0.04792,0.2885,0.08987,0.1393,0.144,0.1145,0.006871,0.1305,0.4515,0.2088,0.2308,65,65,1.27E-11,11.06,6.146,0.6616,0.2298,1.96E-16,0.2173,1.313,0.3891,0,0,0,0,0,19,1.118
16,7,5,2,32,0,0.2535,0.5915,1,1,0,0,0,0,0,0,0,0,0,0,0.1553,65,65,1.27E-11,11.07,6.506,0.02854,0.1529,1.40E-16,0.1442,0.1519,0.1443,0,0,0,0,0,27,0.7083
16,8,3,1,36,0,0.1111,0.1111,1.918,2.422,0,0.4075,0.08357,0,0.07602,0.08414,0.1671,0.1816,0.2326,0.4526,0.3055,65,65,3.17E-12,5.537,3.612,2.829,0.2408,0.3125,0.1442,1.383,0.651,0,0,0,0,0,9,0.45
15,7,3,1,37,0.04255,0,0,1.729,2,0,0,0.1996,0.1004,0.2556,0.1246,0,0.3198,0,0,0.2468,65,65,1.27E-11,11.07,8.668,2.286,0.2249,0.05872,0.1442,0.4596,0.2192,0,0,0,0,0,63,1.958
20,7,2,1,39,0,0,0,1,1.074,0,0,0,0,0,0,0,1,0,0,0.1582,65,65,9.54E-12,8.298,6.99,0.1949,0.1529,8.41E-17,0.1442,0.1442,0.1442,0,0,0,0,0,16,0.5345
7,3,7,3,29,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0.7096,65,65,4.26E-12,2.744,2.915,0,0.7683,0.5329,0.4365,1.313,0.6558,0,0,0,0,0,0,0
14,7,3,2,32,0,0,0,1.82,2.365,0,0.168,0.04429,0.06764,0.309,0.1457,0.006438,0.2525,0.1468,0.1102,0.5607,65,65,2.55E-11,24.78,3.147,1.252,0.5671,0.4163,0.4365,2.629,0.7232,0,0,0,0,0,79,1.013
