Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
13,8,4,1,28,0.3852,0.1475,0.2951,1.367,1.433,0.2979,120,120,0,16,7.75,3.549,0.1721,0.07345,0.1146,0.25,0.133,0,0,0,0.3548,0,28,0
21,5,2,1,51,0.4959,0.01626,0.04878,1.38,3.587,0.3323,120,120,0,4,60.5,0,0.1609,0.06124,0.124,3.999,0.1751,0,0.04959,0,0.1818,0,49,0
14,5,3,2,27,0.451,0.02614,0.02614,1,1,2.264,120,120,0,28,13,0.3274,0.1424,0.06244,0.125,0.125,0.125,0,0.5769,0,0.4231,0,6,0
10,7,4,1,36,0.21,0.16,0.32,1.155,1.222,0.3158,120,120,0,16,8.251,6.451,0.1778,0.0703,0.124,0.25,0.1326,0,0.2273,0,0.1667,0,12,0
29,8,2,1,52,0.4818,0.07648,0.1606,1.629,3.86,0.3037,120,120,0,16,47.25,5.504,0.07271,0.0645,0.01042,2,0.1521,0.001323,0.1693,0,0.2341,0,73,0.03576
28,9,3,2,55,0.6446,0.06127,0.1593,1.879,2.91,0.2068,120,120,0,16,34.06,5.817,0.06979,0.07502,0.01042,2,0.158,0.167,0.233,0,0.3266,0,26,0
33,10,0,0,51,0.4496,0.1279,0.2752,1.59,3.566,0.2656,120,120,0,8,46.12,1.041,0.1307,0.1284,0.01042,2,0.1572,0.252,0.1734,0,0.2439,0,7,0
33,11,3,0,47,0.6457,0.08571,0.2057,1.602,3.859,0.499,120,120,0,8,32.75,0.469,0.1453,0.2526,0.0625,2,0.2295,0.03053,0.2405,0,0.3359,0,7,0
33,10,0,0,51,0.4496,0.1279,0.2752,1.589,3.562,0.2702,120,120,0,8,45.62,0.852,0.1307,0.1284,0.03125,2,0.1585,0.2466,0.1726,0,0.2411,0,7,0
33,11,3,0,47,0.6457,0.08571,0.2057,1.602,3.859,0.499,120,120,0,8,32.75,0.469,0.1453,0.2526,0.0625,2,0.2295,0.03053,0.2405,0,0.3359,0,7,0
10,6,4,4,19,0.8602,0.03584,0.08244,1.56,2.248,2.666,120,120,0,16,25.75,2.772,0.1188,0.3953,0.125,4,0.2328,0,0.2913,0,0.4272,0,23,0.1117
22,9,3,3,45,0.6536,0.08214,0.175,2.309,3.195,0.278,120,120,0,12,31.92,1.968,0.1055,0.3314,0.0625,4,0.2116,0.02611,0.235,0,0.3446,0,21,0
